q	s	ani	frag	total	cq	cs
spire_mag_02088284	spire_mag_02001409	77.2664	347	1088	FSM	SGM
spire_mag_02088284	spire_mag_00492514	77.2003	316	1088	FSM	RGM
spire_mag_02088284	spire_mag_01679848	77.1634	299	1088	FSM	SGM
spire_mag_02088284	spire_mag_01678249	77.153	313	1088	FSM	SGM
spire_mag_02088284	spire_mag_00493620	77.1157	313	1088	FSM	RGM
spire_mag_02088284	spire_mag_01680964	77.0991	304	1088	FSM	SGM
spire_mag_01882647	spire_mag_01112767	81.1232	620	1082	FSM	FSM
spire_mag_01882647	spire_mag_01753708	81.0332	637	1082	FSM	FSM
spire_mag_01882647	spire_mag_02100063	80.9337	656	1082	FSM	FSM
spire_mag_01882647	spire_mag_02087828	80.7865	683	1082	FSM	FSM
spire_mag_01882647	spire_mag_02088287	80.7517	674	1082	FSM	FSM
spire_mag_01882647	spire_mag_02088330	80.7196	660	1082	FSM	FSM
spire_mag_01882647	spire_mag_00873124	80.3971	607	1082	FSM	FSM
spire_mag_01882647	spire_mag_00874439	80.3254	596	1082	FSM	FSM
spire_mag_01882647	spire_mag_01822855	79.9916	633	1082	FSM	FSM
spire_mag_01882647	spire_mag_02519404	79.9372	576	1082	FSM	RGM
spire_mag_01882647	spire_mag_01586430	79.7661	595	1082	FSM	RGM
spire_mag_01882647	spire_mag_01586673	79.6898	581	1082	FSM	RGM
spire_mag_01882647	spire_mag_02088284	79.6735	575	1082	FSM	FSM
spire_mag_01882647	spire_mag_02520786	79.6643	538	1082	FSM	RGM
spire_mag_01882647	spire_mag_00825292	79.6073	549	1082	FSM	RGM
spire_mag_01882647	spire_mag_02088418	79.5414	609	1082	FSM	FSM
spire_mag_01882647	spire_mag_02307626	78.8176	530	1082	FSM	RGM
spire_mag_01882647	spire_mag_02296681	78.8108	523	1082	FSM	RGM
spire_mag_01882647	spire_mag_02294715	78.8103	519	1082	FSM	RGM
spire_mag_01882647	spire_mag_02298516	78.8084	523	1082	FSM	RGM
spire_mag_01882647	spire_mag_02299450	78.723	510	1082	FSM	RGM
spire_mag_01882647	spire_mag_01823769	78.6299	425	1082	FSM	SGM
spire_mag_01882647	spire_mag_01733412	78.6102	453	1082	FSM	SGM
spire_mag_01882647	spire_mag_02001409	78.3564	399	1082	FSM	SGM
spire_mag_01882647	spire_mag_02598702	78.3052	429	1082	FSM	SGM
spire_mag_01882647	spire_mag_01678249	78.0589	378	1082	FSM	SGM
spire_mag_01882647	spire_mag_01680964	78.054	380	1082	FSM	SGM
spire_mag_01882647	spire_mag_00709062	78.0221	342	1082	FSM	SGM
spire_mag_01882647	spire_mag_01679848	78.021	372	1082	FSM	SGM
spire_mag_01882647	spire_mag_00493620	77.9014	414	1082	FSM	RGM
spire_mag_01882647	spire_mag_00492514	77.8816	403	1082	FSM	RGM
spire_mag_02088330	spire_mag_02088287	99.6323	970	1051	FSM	FSM
spire_mag_02088330	spire_mag_02087828	99.476	981	1051	FSM	FSM
spire_mag_02088330	spire_mag_01112767	80.9156	609	1051	FSM	FSM
spire_mag_02088330	spire_mag_02100063	80.6528	650	1051	FSM	FSM
spire_mag_02088330	spire_mag_01882647	80.5737	684	1051	FSM	FSM
spire_mag_02088330	spire_mag_01753708	80.5667	651	1051	FSM	FSM
spire_mag_02088330	spire_mag_02088284	79.9977	623	1051	FSM	FSM
spire_mag_02088330	spire_mag_01586430	79.8387	603	1051	FSM	RGM
spire_mag_02088330	spire_mag_01586673	79.7959	598	1051	FSM	RGM
spire_mag_02088330	spire_mag_02519404	79.7645	598	1051	FSM	RGM
spire_mag_02088330	spire_mag_02520786	79.6755	543	1051	FSM	RGM
spire_mag_02088330	spire_mag_02088418	79.5355	657	1051	FSM	FSM
spire_mag_02088330	spire_mag_00874439	79.5208	566	1051	FSM	FSM
spire_mag_02088330	spire_mag_00825292	79.4606	583	1051	FSM	RGM
spire_mag_02088330	spire_mag_00873124	79.3943	580	1051	FSM	FSM
spire_mag_02088330	spire_mag_01822855	79.3299	565	1051	FSM	FSM
spire_mag_02088330	spire_mag_02296681	79.1068	530	1051	FSM	RGM
spire_mag_02088330	spire_mag_02294715	79.1013	536	1051	FSM	RGM
spire_mag_02088330	spire_mag_02298516	79.0804	526	1051	FSM	RGM
spire_mag_02088330	spire_mag_02307626	79.0717	549	1051	FSM	RGM
spire_mag_02088330	spire_mag_02299450	79.0138	517	1051	FSM	RGM
spire_mag_02088330	spire_mag_01733412	78.6031	479	1051	FSM	SGM
spire_mag_02088330	spire_mag_02598702	78.4784	415	1051	FSM	SGM
spire_mag_02088330	spire_mag_01823769	78.3907	448	1051	FSM	SGM
spire_mag_02088330	spire_mag_00709062	78.155	337	1051	FSM	SGM
spire_mag_02088330	spire_mag_02001409	78.1245	431	1051	FSM	SGM
spire_mag_02088330	spire_mag_01679848	77.9856	366	1051	FSM	SGM
spire_mag_02088330	spire_mag_01678249	77.8533	367	1051	FSM	SGM
spire_mag_02088330	spire_mag_00492514	77.8441	397	1051	FSM	RGM
spire_mag_02088330	spire_mag_00493620	77.8293	402	1051	FSM	RGM
spire_mag_02088330	spire_mag_01680964	77.8237	367	1051	FSM	SGM
spire_mag_02088418	spire_mag_02088284	83.2124	874	1130	FSM	FSM
spire_mag_02088418	spire_mag_02088287	80.7552	679	1130	FSM	FSM
spire_mag_02088418	spire_mag_01112767	80.256	599	1130	FSM	FSM
spire_mag_02088418	spire_mag_02088330	79.6395	649	1130	FSM	FSM
spire_mag_02088418	spire_mag_02100063	79.6039	635	1130	FSM	FSM
spire_mag_02088418	spire_mag_02087828	79.5634	665	1130	FSM	FSM
spire_mag_02088418	spire_mag_01882647	79.5219	610	1130	FSM	FSM
spire_mag_02088418	spire_mag_01753708	79.5139	636	1130	FSM	FSM
spire_mag_02088418	spire_mag_00874439	78.8956	521	1130	FSM	FSM
spire_mag_02088418	spire_mag_01822855	78.8703	570	1130	FSM	FSM
spire_mag_02088418	spire_mag_00873124	78.8142	535	1130	FSM	FSM
spire_mag_02088418	spire_mag_00825292	78.6101	455	1130	FSM	RGM
spire_mag_02088418	spire_mag_02519404	78.5734	529	1130	FSM	RGM
spire_mag_02088418	spire_mag_02520786	78.5253	467	1130	FSM	RGM
spire_mag_02088418	spire_mag_01586430	78.1748	525	1130	FSM	RGM
spire_mag_02088418	spire_mag_01586673	78.0681	523	1130	FSM	RGM
spire_mag_02088418	spire_mag_02294715	77.8837	459	1130	FSM	RGM
spire_mag_02088418	spire_mag_02307626	77.8622	470	1130	FSM	RGM
spire_mag_02088418	spire_mag_02296681	77.8351	464	1130	FSM	RGM
spire_mag_02088418	spire_mag_02298516	77.813	459	1130	FSM	RGM
spire_mag_02088418	spire_mag_02299450	77.7814	449	1130	FSM	RGM
spire_mag_02088418	spire_mag_00709062	77.6194	275	1130	FSM	SGM
spire_mag_02088418	spire_mag_01823769	77.6184	340	1130	FSM	SGM
spire_mag_02088418	spire_mag_01733412	77.4933	420	1130	FSM	SGM
spire_mag_02088418	spire_mag_01680964	77.4234	288	1130	FSM	SGM
spire_mag_02088418	spire_mag_02001409	77.392	360	1130	FSM	SGM
spire_mag_02088418	spire_mag_01678249	77.3229	302	1130	FSM	SGM
spire_mag_02088418	spire_mag_02598702	77.2651	346	1130	FSM	SGM
spire_mag_02088418	spire_mag_01679848	77.2027	297	1130	FSM	SGM
spire_mag_02088418	spire_mag_00493620	77.106	311	1130	FSM	RGM
spire_mag_02088418	spire_mag_00492514	77.0332	308	1130	FSM	RGM
spire_mag_02088287	spire_mag_02088330	99.5663	976	1106	FSM	FSM
spire_mag_02088287	spire_mag_02087828	99.4648	974	1106	FSM	FSM
spire_mag_02088287	spire_mag_01112767	80.8514	621	1106	FSM	FSM
spire_mag_02088287	spire_mag_01753708	80.7776	647	1106	FSM	FSM
spire_mag_02088287	spire_mag_02088418	80.7626	693	1106	FSM	FSM
spire_mag_02088287	spire_mag_01882647	80.7593	669	1106	FSM	FSM
spire_mag_02088287	spire_mag_02100063	80.7075	668	1106	FSM	FSM
spire_mag_02088287	spire_mag_02088284	80.0655	659	1106	FSM	FSM
spire_mag_02088287	spire_mag_01586430	79.7696	622	1106	FSM	RGM
spire_mag_02088287	spire_mag_02519404	79.7419	612	1106	FSM	RGM
spire_mag_02088287	spire_mag_01586673	79.6857	622	1106	FSM	RGM
spire_mag_02088287	spire_mag_02520786	79.5643	579	1106	FSM	RGM
spire_mag_02088287	spire_mag_00874439	79.5272	578	1106	FSM	FSM
spire_mag_02088287	spire_mag_00873124	79.51	586	1106	FSM	FSM
spire_mag_02088287	spire_mag_00825292	79.4753	603	1106	FSM	RGM
spire_mag_02088287	spire_mag_01822855	79.3219	583	1106	FSM	FSM
spire_mag_02088287	spire_mag_02307626	79.1844	546	1106	FSM	RGM
spire_mag_02088287	spire_mag_02298516	79.1364	540	1106	FSM	RGM
spire_mag_02088287	spire_mag_02294715	79.1166	560	1106	FSM	RGM
spire_mag_02088287	spire_mag_02296681	79.0758	550	1106	FSM	RGM
spire_mag_02088287	spire_mag_02299450	79.0253	529	1106	FSM	RGM
spire_mag_02088287	spire_mag_01733412	78.6555	498	1106	FSM	SGM
spire_mag_02088287	spire_mag_02598702	78.4033	433	1106	FSM	SGM
spire_mag_02088287	spire_mag_01823769	78.342	472	1106	FSM	SGM
spire_mag_02088287	spire_mag_02001409	78.176	449	1106	FSM	SGM
spire_mag_02088287	spire_mag_00709062	78.0005	365	1106	FSM	SGM
spire_mag_02088287	spire_mag_01678249	77.9007	393	1106	FSM	SGM
spire_mag_02088287	spire_mag_01679848	77.8691	389	1106	FSM	SGM
spire_mag_02088287	spire_mag_00493620	77.8252	409	1106	FSM	RGM
spire_mag_02088287	spire_mag_00492514	77.8081	406	1106	FSM	RGM
spire_mag_02088287	spire_mag_01680964	77.8032	394	1106	FSM	SGM
spire_mag_01822855	spire_mag_00874439	83.3378	795	1081	FSM	FSM
spire_mag_01822855	spire_mag_00873124	83.3125	815	1081	FSM	FSM
spire_mag_01822855	spire_mag_01112767	80.0512	577	1081	FSM	FSM
spire_mag_01822855	spire_mag_01882647	79.9769	635	1081	FSM	FSM
spire_mag_01822855	spire_mag_02100063	79.6816	609	1081	FSM	FSM
spire_mag_01822855	spire_mag_01753708	79.661	595	1081	FSM	FSM
spire_mag_01822855	spire_mag_02087828	79.4245	594	1081	FSM	FSM
spire_mag_01822855	spire_mag_02088287	79.3971	581	1081	FSM	FSM
spire_mag_01822855	spire_mag_02088330	79.379	575	1081	FSM	FSM
spire_mag_01822855	spire_mag_02088284	78.9458	544	1081	FSM	FSM
spire_mag_01822855	spire_mag_02519404	78.863	516	1081	FSM	RGM
spire_mag_01822855	spire_mag_02088418	78.7855	576	1081	FSM	FSM
spire_mag_01822855	spire_mag_02520786	78.6854	430	1081	FSM	RGM
spire_mag_01822855	spire_mag_01586430	78.4629	485	1081	FSM	RGM
spire_mag_01822855	spire_mag_00825292	78.4595	468	1081	FSM	RGM
spire_mag_01822855	spire_mag_01586673	78.4063	471	1081	FSM	RGM
spire_mag_01822855	spire_mag_02294715	78.0208	433	1081	FSM	RGM
spire_mag_01822855	spire_mag_02307626	78.0013	444	1081	FSM	RGM
spire_mag_01822855	spire_mag_02298516	77.9725	435	1081	FSM	RGM
spire_mag_01822855	spire_mag_02296681	77.9609	428	1081	FSM	RGM
spire_mag_01822855	spire_mag_02299450	77.854	424	1081	FSM	RGM
spire_mag_01822855	spire_mag_01733412	77.6998	391	1081	FSM	SGM
spire_mag_01822855	spire_mag_01823769	77.5564	379	1081	FSM	SGM
spire_mag_01822855	spire_mag_00709062	77.5318	268	1081	FSM	SGM
spire_mag_01822855	spire_mag_01679848	77.4958	301	1081	FSM	SGM
spire_mag_01822855	spire_mag_01680964	77.4871	299	1081	FSM	SGM
spire_mag_01822855	spire_mag_01678249	77.4811	307	1081	FSM	SGM
spire_mag_01822855	spire_mag_02598702	77.4298	340	1081	FSM	SGM
spire_mag_01822855	spire_mag_00493620	77.4289	335	1081	FSM	RGM
spire_mag_01822855	spire_mag_00492514	77.369	342	1081	FSM	RGM
spire_mag_01822855	spire_mag_02001409	77.2479	318	1081	FSM	SGM
spire_mag_02087828	spire_mag_02088330	99.3688	990	1104	FSM	FSM
spire_mag_02087828	spire_mag_02088287	99.3317	975	1104	FSM	FSM
spire_mag_02087828	spire_mag_01112767	80.9212	615	1104	FSM	FSM
spire_mag_02087828	spire_mag_01882647	80.7657	676	1104	FSM	FSM
spire_mag_02087828	spire_mag_02100063	80.6882	659	1104	FSM	FSM
spire_mag_02087828	spire_mag_01753708	80.6717	647	1104	FSM	FSM
spire_mag_02087828	spire_mag_01586430	79.7264	631	1104	FSM	RGM
spire_mag_02087828	spire_mag_01586673	79.7178	622	1104	FSM	RGM
spire_mag_02087828	spire_mag_02519404	79.7091	607	1104	FSM	RGM
spire_mag_02087828	spire_mag_02088418	79.7087	644	1104	FSM	FSM
spire_mag_02087828	spire_mag_02088284	79.6768	621	1104	FSM	FSM
spire_mag_02087828	spire_mag_02520786	79.6376	575	1104	FSM	RGM
spire_mag_02087828	spire_mag_00873124	79.5957	575	1104	FSM	FSM
spire_mag_02087828	spire_mag_00874439	79.5527	570	1104	FSM	FSM
spire_mag_02087828	spire_mag_01822855	79.4611	590	1104	FSM	FSM
spire_mag_02087828	spire_mag_00825292	79.3545	615	1104	FSM	RGM
spire_mag_02087828	spire_mag_02298516	79.0943	541	1104	FSM	RGM
spire_mag_02087828	spire_mag_02294715	79.0861	546	1104	FSM	RGM
spire_mag_02087828	spire_mag_02296681	79.0823	546	1104	FSM	RGM
spire_mag_02087828	spire_mag_02307626	79.0614	542	1104	FSM	RGM
spire_mag_02087828	spire_mag_02299450	78.8966	533	1104	FSM	RGM
spire_mag_02087828	spire_mag_01733412	78.6669	494	1104	FSM	SGM
spire_mag_02087828	spire_mag_01823769	78.5059	447	1104	FSM	SGM
spire_mag_02087828	spire_mag_02598702	78.4081	435	1104	FSM	SGM
spire_mag_02087828	spire_mag_02001409	78.1426	431	1104	FSM	SGM
spire_mag_02087828	spire_mag_00709062	78.1153	342	1104	FSM	SGM
spire_mag_02087828	spire_mag_01679848	77.8029	385	1104	FSM	SGM
spire_mag_02087828	spire_mag_00492514	77.7794	404	1104	FSM	RGM
spire_mag_02087828	spire_mag_00493620	77.7753	409	1104	FSM	RGM
spire_mag_02087828	spire_mag_01678249	77.7529	387	1104	FSM	SGM
spire_mag_02087828	spire_mag_01680964	77.655	389	1104	FSM	SGM
spire_mag_02100063	spire_mag_01753708	99.6051	959	1045	FSM	FSM
spire_mag_02100063	spire_mag_01112767	81.823	678	1045	FSM	FSM
spire_mag_02100063	spire_mag_01882647	80.8705	660	1045	FSM	FSM
spire_mag_02100063	spire_mag_02088287	80.7621	656	1045	FSM	FSM
spire_mag_02100063	spire_mag_02087828	80.5514	674	1045	FSM	FSM
spire_mag_02100063	spire_mag_02088330	80.5192	673	1045	FSM	FSM
spire_mag_02100063	spire_mag_00874439	79.825	578	1045	FSM	FSM
spire_mag_02100063	spire_mag_00873124	79.7892	601	1045	FSM	FSM
spire_mag_02100063	spire_mag_01822855	79.7403	606	1045	FSM	FSM
spire_mag_02100063	spire_mag_02519404	79.6528	591	1045	FSM	RGM
spire_mag_02100063	spire_mag_02088284	79.5812	601	1045	FSM	FSM
spire_mag_02100063	spire_mag_01586673	79.5604	554	1045	FSM	RGM
spire_mag_02100063	spire_mag_02088418	79.5312	641	1045	FSM	FSM
spire_mag_02100063	spire_mag_01586430	79.5076	574	1045	FSM	RGM
spire_mag_02100063	spire_mag_02520786	79.4402	530	1045	FSM	RGM
spire_mag_02100063	spire_mag_00825292	79.2704	559	1045	FSM	RGM
spire_mag_02100063	spire_mag_02307626	78.7147	509	1045	FSM	RGM
spire_mag_02100063	spire_mag_02296681	78.6976	509	1045	FSM	RGM
spire_mag_02100063	spire_mag_02298516	78.6895	508	1045	FSM	RGM
spire_mag_02100063	spire_mag_02294715	78.6863	507	1045	FSM	RGM
spire_mag_02100063	spire_mag_02299450	78.6193	498	1045	FSM	RGM
spire_mag_02100063	spire_mag_01733412	78.5898	441	1045	FSM	SGM
spire_mag_02100063	spire_mag_02598702	78.378	421	1045	FSM	SGM
spire_mag_02100063	spire_mag_01823769	78.3138	404	1045	FSM	SGM
spire_mag_02100063	spire_mag_01678249	78.1647	360	1045	FSM	SGM
spire_mag_02100063	spire_mag_02001409	78.1567	412	1045	FSM	SGM
spire_mag_02100063	spire_mag_00709062	78.1165	340	1045	FSM	SGM
spire_mag_02100063	spire_mag_00492514	78.0936	356	1045	FSM	RGM
spire_mag_02100063	spire_mag_01679848	78.0864	361	1045	FSM	SGM
spire_mag_02100063	spire_mag_00493620	78.0293	370	1045	FSM	RGM
spire_mag_02100063	spire_mag_01680964	78.019	367	1045	FSM	SGM
spire_mag_00873124	spire_mag_00874439	99.8856	923	996	FSM	FSM
spire_mag_00873124	spire_mag_01822855	83.2697	806	996	FSM	FSM
spire_mag_00873124	spire_mag_01112767	80.4517	557	996	FSM	FSM
spire_mag_00873124	spire_mag_01882647	80.2725	615	996	FSM	FSM
spire_mag_00873124	spire_mag_01753708	79.7944	583	996	FSM	FSM
spire_mag_00873124	spire_mag_02100063	79.7438	596	996	FSM	FSM
spire_mag_00873124	spire_mag_02087828	79.4521	595	996	FSM	FSM
spire_mag_00873124	spire_mag_02088287	79.3932	589	996	FSM	FSM
spire_mag_00873124	spire_mag_02088330	79.3623	588	996	FSM	FSM
spire_mag_00873124	spire_mag_02088284	78.9808	518	996	FSM	FSM
spire_mag_00873124	spire_mag_02519404	78.8531	510	996	FSM	RGM
spire_mag_00873124	spire_mag_02088418	78.7725	530	996	FSM	FSM
spire_mag_00873124	spire_mag_01586430	78.5944	483	996	FSM	RGM
spire_mag_00873124	spire_mag_01586673	78.5554	476	996	FSM	RGM
spire_mag_00873124	spire_mag_02520786	78.4865	467	996	FSM	RGM
spire_mag_00873124	spire_mag_00825292	78.3588	479	996	FSM	RGM
spire_mag_00873124	spire_mag_02294715	78.2324	427	996	FSM	RGM
spire_mag_00873124	spire_mag_02307626	78.1767	446	996	FSM	RGM
spire_mag_00873124	spire_mag_02296681	78.1386	431	996	FSM	RGM
spire_mag_00873124	spire_mag_02298516	78.1214	436	996	FSM	RGM
spire_mag_00873124	spire_mag_02299450	78.0515	428	996	FSM	RGM
spire_mag_00873124	spire_mag_01733412	77.985	388	996	FSM	SGM
spire_mag_00873124	spire_mag_01823769	77.8493	349	996	FSM	SGM
spire_mag_00873124	spire_mag_02598702	77.7021	347	996	FSM	SGM
spire_mag_00873124	spire_mag_00709062	77.61	272	996	FSM	SGM
spire_mag_00873124	spire_mag_01680964	77.5532	324	996	FSM	SGM
spire_mag_00873124	spire_mag_01678249	77.5414	330	996	FSM	SGM
spire_mag_00873124	spire_mag_01679848	77.5353	322	996	FSM	SGM
spire_mag_00873124	spire_mag_02001409	77.4349	346	996	FSM	SGM
spire_mag_00873124	spire_mag_00493620	77.3332	354	996	FSM	RGM
spire_mag_00873124	spire_mag_00492514	77.2747	353	996	FSM	RGM
spire_mag_01112767	spire_mag_02100063	81.9286	672	976	FSM	FSM
spire_mag_01112767	spire_mag_01753708	81.8251	668	976	FSM	FSM
spire_mag_01112767	spire_mag_01882647	81.1335	610	976	FSM	FSM
spire_mag_01112767	spire_mag_02087828	80.8239	622	976	FSM	FSM
spire_mag_01112767	spire_mag_02088287	80.8233	610	976	FSM	FSM
spire_mag_01112767	spire_mag_02088330	80.7865	617	976	FSM	FSM
spire_mag_01112767	spire_mag_00873124	80.2879	582	976	FSM	FSM
spire_mag_01112767	spire_mag_02088284	80.2611	568	976	FSM	FSM
spire_mag_01112767	spire_mag_00874439	80.2528	562	976	FSM	FSM
spire_mag_01112767	spire_mag_02088418	80.1771	597	976	FSM	FSM
spire_mag_01112767	spire_mag_02519404	80.0589	575	976	FSM	RGM
spire_mag_01112767	spire_mag_01822855	79.965	582	976	FSM	FSM
spire_mag_01112767	spire_mag_01586673	79.8866	553	976	FSM	RGM
spire_mag_01112767	spire_mag_01586430	79.8384	558	976	FSM	RGM
spire_mag_01112767	spire_mag_00825292	79.768	534	976	FSM	RGM
spire_mag_01112767	spire_mag_02520786	79.7385	522	976	FSM	RGM
spire_mag_01112767	spire_mag_02294715	79.049	481	976	FSM	RGM
spire_mag_01112767	spire_mag_02298516	79.0058	484	976	FSM	RGM
spire_mag_01112767	spire_mag_02296681	78.9738	492	976	FSM	RGM
spire_mag_01112767	spire_mag_02299450	78.9439	474	976	FSM	RGM
spire_mag_01112767	spire_mag_02307626	78.914	496	976	FSM	RGM
spire_mag_01112767	spire_mag_01823769	78.7195	410	976	FSM	SGM
spire_mag_01112767	spire_mag_01733412	78.5778	465	976	FSM	SGM
spire_mag_01112767	spire_mag_02598702	78.5445	426	976	FSM	SGM
spire_mag_01112767	spire_mag_02001409	78.2309	420	976	FSM	SGM
spire_mag_01112767	spire_mag_01679848	78.1877	376	976	FSM	SGM
spire_mag_01112767	spire_mag_01678249	78.1267	379	976	FSM	SGM
spire_mag_01112767	spire_mag_00709062	78.1204	333	976	FSM	SGM
spire_mag_01112767	spire_mag_01680964	78.1097	379	976	FSM	SGM
spire_mag_01112767	spire_mag_00493620	77.9319	405	976	FSM	RGM
spire_mag_01112767	spire_mag_00492514	77.8854	400	976	FSM	RGM
spire_mag_01753708	spire_mag_02100063	99.6376	966	1033	FSM	FSM
spire_mag_01753708	spire_mag_01112767	81.8287	681	1033	FSM	FSM
spire_mag_01753708	spire_mag_01882647	80.8193	650	1033	FSM	FSM
spire_mag_01753708	spire_mag_02088287	80.6835	645	1033	FSM	FSM
spire_mag_01753708	spire_mag_02087828	80.4732	655	1033	FSM	FSM
spire_mag_01753708	spire_mag_02088330	80.4439	657	1033	FSM	FSM
spire_mag_01753708	spire_mag_00873124	79.9233	569	1033	FSM	FSM
spire_mag_01753708	spire_mag_00874439	79.8126	561	1033	FSM	FSM
spire_mag_01753708	spire_mag_02088284	79.6649	595	1033	FSM	FSM
spire_mag_01753708	spire_mag_01822855	79.6553	599	1033	FSM	FSM
spire_mag_01753708	spire_mag_02519404	79.6382	585	1033	FSM	RGM
spire_mag_01753708	spire_mag_02088418	79.5534	638	1033	FSM	FSM
spire_mag_01753708	spire_mag_02520786	79.4593	526	1033	FSM	RGM
spire_mag_01753708	spire_mag_01586430	79.4102	566	1033	FSM	RGM
spire_mag_01753708	spire_mag_00825292	79.4058	543	1033	FSM	RGM
spire_mag_01753708	spire_mag_01586673	79.377	565	1033	FSM	RGM
spire_mag_01753708	spire_mag_02307626	78.9426	488	1033	FSM	RGM
spire_mag_01753708	spire_mag_02294715	78.8624	486	1033	FSM	RGM
spire_mag_01753708	spire_mag_02298516	78.8455	487	1033	FSM	RGM
spire_mag_01753708	spire_mag_02296681	78.7919	491	1033	FSM	RGM
spire_mag_01753708	spire_mag_01733412	78.7093	433	1033	FSM	SGM
spire_mag_01753708	spire_mag_02299450	78.6935	473	1033	FSM	RGM
spire_mag_01753708	spire_mag_01823769	78.3312	393	1033	FSM	SGM
spire_mag_01753708	spire_mag_01678249	78.138	353	1033	FSM	SGM
spire_mag_01753708	spire_mag_01680964	78.1305	353	1033	FSM	SGM
spire_mag_01753708	spire_mag_01679848	78.1132	351	1033	FSM	SGM
spire_mag_01753708	spire_mag_02598702	78.0758	416	1033	FSM	SGM
spire_mag_01753708	spire_mag_02001409	78.0716	398	1033	FSM	SGM
spire_mag_01753708	spire_mag_00709062	78.0494	334	1033	FSM	SGM
spire_mag_01753708	spire_mag_00492514	77.9711	353	1033	FSM	RGM
spire_mag_01753708	spire_mag_00493620	77.8605	368	1033	FSM	RGM
spire_mag_00874439	spire_mag_00873124	99.8779	928	993	FSM	FSM
spire_mag_00874439	spire_mag_01822855	83.401	792	993	FSM	FSM
spire_mag_00874439	spire_mag_01112767	80.3762	552	993	FSM	FSM
spire_mag_00874439	spire_mag_01882647	80.2546	602	993	FSM	FSM
spire_mag_00874439	spire_mag_02100063	79.7883	577	993	FSM	FSM
spire_mag_00874439	spire_mag_01753708	79.7437	579	993	FSM	FSM
spire_mag_00874439	spire_mag_02087828	79.5671	571	993	FSM	FSM
spire_mag_00874439	spire_mag_02088287	79.5334	567	993	FSM	FSM
spire_mag_00874439	spire_mag_02088330	79.4778	574	993	FSM	FSM
spire_mag_00874439	spire_mag_02088284	79.0636	500	993	FSM	FSM
spire_mag_00874439	spire_mag_02519404	78.8072	512	993	FSM	RGM
spire_mag_00874439	spire_mag_02088418	78.7432	534	993	FSM	FSM
spire_mag_00874439	spire_mag_01586673	78.6244	468	993	FSM	RGM
spire_mag_00874439	spire_mag_01586430	78.6072	481	993	FSM	RGM
spire_mag_00874439	spire_mag_02520786	78.6019	453	993	FSM	RGM
spire_mag_00874439	spire_mag_00825292	78.3936	462	993	FSM	RGM
spire_mag_00874439	spire_mag_02307626	78.3837	412	993	FSM	RGM
spire_mag_00874439	spire_mag_02294715	78.3259	410	993	FSM	RGM
spire_mag_00874439	spire_mag_02298516	78.2778	414	993	FSM	RGM
spire_mag_00874439	spire_mag_02296681	78.1903	419	993	FSM	RGM
spire_mag_00874439	spire_mag_02299450	78.1545	400	993	FSM	RGM
spire_mag_00874439	spire_mag_01733412	78.0442	380	993	FSM	SGM
spire_mag_00874439	spire_mag_01823769	77.8269	354	993	FSM	SGM
spire_mag_00874439	spire_mag_00709062	77.6824	276	993	FSM	SGM
spire_mag_00874439	spire_mag_02598702	77.6723	342	993	FSM	SGM
spire_mag_00874439	spire_mag_00493620	77.5956	328	993	FSM	RGM
spire_mag_00874439	spire_mag_01680964	77.5421	327	993	FSM	SGM
spire_mag_00874439	spire_mag_01678249	77.5304	323	993	FSM	SGM
spire_mag_00874439	spire_mag_01679848	77.5001	322	993	FSM	SGM
