genome	rRNA_5S	rRNA_16S	rRNA_23S	distinct_tRNA_amino_acids	meets_MIMAG_high_quality
spire_mag_01203432	1	0	0	22	0
spire_mag_01244826	0	0	0	19	0
spire_mag_01276921	1	0	0	21	0
spire_mag_01485026	1	1	1	20	1
spire_mag_01583196	1	0	0	19	0
spire_mag_01584542	1	0	0	20	0
spire_mag_01585204	1	0	0	19	0
spire_mag_01585398	1	0	1	22	0
spire_mag_01585481	1	0	0	22	0
spire_mag_01585638	1	1	0	21	0
spire_mag_01585658	1	0	0	22	0
spire_mag_01585792	1	0	1	22	0
spire_mag_01586359	1	0	0	22	0
spire_mag_01586430	1	0	0	21	0
spire_mag_01586464	1	0	0	21	0
spire_mag_01586492	1	0	0	22	0
spire_mag_01586672	1	0	0	21	0
spire_mag_01586673	1	0	0	18	0
spire_mag_01599223	1	0	0	21	0
spire_mag_01603410	1	1	0	22	0
spire_mag_01603564	1	0	0	20	0
spire_mag_01603633	1	0	0	21	0
spire_mag_01619133	1	1	0	20	0
spire_mag_01619766	0	0	0	20	0
spire_mag_01620236	1	1	0	20	0
spire_mag_01620338	1	0	0	20	0
spire_mag_01620411	1	0	0	18	0
spire_mag_01621671	1	1	1	21	1
spire_mag_01623019	1	0	0	20	0
spire_mag_01623819	1	0	0	21	0
spire_mag_01632252	0	0	0	18	0
spire_mag_01662118	0	0	0	21	0
spire_mag_01663809	1	0	1	20	0
spire_mag_01664230	1	0	0	21	0
spire_mag_01677777	1	1	1	18	1
spire_mag_01678249	1	1	1	21	1
spire_mag_01678280	0	0	0	21	0
spire_mag_01679848	1	1	1	22	1
spire_mag_01680964	1	1	1	22	1
spire_mag_01681793	0	0	0	19	0
spire_mag_01681850	1	0	1	22	0
spire_mag_01682165	1	1	1	20	1
spire_mag_01682807	1	1	1	22	1
spire_mag_01733397	1	0	0	21	0
spire_mag_01733412	1	1	0	21	0
spire_mag_01743952	1	0	0	19	0
spire_mag_01744298	1	0	0	15	0
spire_mag_01744910	1	1	0	19	0
spire_mag_01747196	1	0	0	15	0
spire_mag_01748232	1	1	1	16	0
spire_mag_01748689	1	1	0	17	0
spire_mag_01749319	1	0	0	18	0
spire_mag_01750747	1	0	0	16	0
spire_mag_01752215	1	0	1	17	0
spire_mag_01753570	0	0	0	19	0
spire_mag_01753708	1	1	0	16	0
spire_mag_01753944	1	1	0	18	0
spire_mag_01755240	1	0	0	16	0
spire_mag_01759821	1	0	0	16	0
spire_mag_01775892	1	0	0	18	0
spire_mag_01776406	1	0	0	19	0
spire_mag_01776429	1	0	0	21	0
spire_mag_01776742	1	1	0	19	0
spire_mag_01776854	1	1	1	21	1
spire_mag_01777252	1	0	1	19	0
spire_mag_01777835	1	0	0	18	0
spire_mag_01784070	1	0	0	21	0
spire_mag_01787296	1	0	1	19	0
spire_mag_01822349	1	1	1	20	1
spire_mag_01822855	1	0	0	21	0
spire_mag_01823769	1	0	0	18	0
spire_mag_01824889	1	0	0	19	0
spire_mag_01824983	1	0	0	21	0
spire_mag_01825260	1	0	0	22	0
spire_mag_01830074	1	0	0	19	0
spire_mag_01882615	1	0	0	22	0
spire_mag_01882632	1	0	0	21	0
spire_mag_01882647	1	0	0	20	0
spire_mag_01947641	1	0	0	17	0
spire_mag_01947849	1	0	1	18	0
spire_mag_01948467	1	0	0	20	0
spire_mag_01949332	1	0	0	18	0
spire_mag_01949386	1	0	0	16	0
spire_mag_01949445	1	0	0	17	0
spire_mag_01949778	1	0	0	17	0
spire_mag_01949938	1	0	1	14	0
spire_mag_01959179	1	0	0	21	0
spire_mag_01960731	0	1	0	17	0
spire_mag_01960893	1	1	0	19	0
spire_mag_02001406	0	0	0	21	0
spire_mag_02001409	0	0	0	21	0
spire_mag_02001657	1	1	0	19	0
spire_mag_02001975	1	0	0	21	0
spire_mag_02002215	1	0	0	20	0
spire_mag_02003535	1	1	0	21	0
spire_mag_02005306	1	1	1	20	1
spire_mag_02028936	1	0	0	21	0
spire_mag_02087828	1	0	0	20	0
spire_mag_02088219	1	0	0	19	0
spire_mag_02088284	1	0	0	21	0
spire_mag_02088287	0	0	0	21	0
spire_mag_02088330	0	0	0	18	0
spire_mag_02088418	1	0	0	19	0
spire_mag_02088507	0	0	0	18	0
spire_mag_02088609	1	0	0	17	0
spire_mag_02088828	1	0	0	18	0
spire_mag_02100063	1	0	0	17	0
spire_mag_02102612	1	1	0	20	0
spire_mag_02166032	0	0	0	21	0
spire_mag_02184890	1	1	1	22	1
spire_mag_02186423	1	0	0	21	0
spire_mag_02199963	1	0	0	20	0
spire_mag_02200992	1	1	0	22	0
spire_mag_02208815	1	0	1	19	0
spire_mag_02292565	1	0	1	20	0
spire_mag_02292667	0	0	0	21	0
spire_mag_02293016	0	0	0	19	0
spire_mag_02293027	0	0	0	20	0
spire_mag_02293116	0	0	0	21	0
spire_mag_02294311	0	0	0	21	0
spire_mag_02294715	1	0	1	20	0
spire_mag_02295856	0	1	0	19	0
spire_mag_02296017	1	1	1	19	1
spire_mag_02296298	0	0	0	19	0
spire_mag_02296681	0	0	0	21	0
spire_mag_02297276	0	0	0	19	0
spire_mag_02297337	0	1	0	21	0
spire_mag_02298516	1	0	1	20	0
spire_mag_02298601	0	0	0	20	0
spire_mag_02299450	1	0	0	21	0
spire_mag_02299568	0	0	0	20	0
spire_mag_02300518	0	0	0	21	0
spire_mag_02300699	0	0	0	20	0
spire_mag_02300785	1	0	1	21	0
spire_mag_02305637	0	0	0	21	0
spire_mag_02306214	0	0	0	20	0
spire_mag_02307077	0	0	0	21	0
spire_mag_02307626	1	0	1	20	0
spire_mag_02307797	0	0	0	21	0
spire_mag_02307968	0	0	0	20	0
spire_mag_02370601	0	1	1	22	0
spire_mag_02370757	1	1	1	18	1
spire_mag_02371253	1	0	0	21	0
spire_mag_02374219	0	0	0	22	0
spire_mag_02374351	1	1	0	21	0
spire_mag_02374732	1	0	0	20	0
spire_mag_02394504	1	1	1	21	1
spire_mag_02516797	1	0	0	21	0
spire_mag_02519404	1	0	0	20	0
spire_mag_02520786	1	0	0	21	0
spire_mag_02521398	1	0	1	21	0
spire_mag_02570492	1	1	1	21	1
spire_mag_02598702	1	0	0	19	0
spire_mag_02683911	1	0	0	20	0
spire_mag_02762480	1	0	0	21	0
spire_mag_02837879	1	0	0	21	0
spire_mag_02882770	1	0	0	21	0
spire_mag_01947705	1	0	0	18	0
MIMAG high-quality draft additionally requires 5S, 16S and 23S rRNA and tRNAs for at least 18 amino acids (Bowers et al. 2017). 32 of 246 MAGs meet all criteria; rRNA genes are commonly lost in metagenome binning. The set is therefore described as near-complete (CheckM2 completeness ≥90%, contamination ≤5%), not MIMAG high-quality. All 246 MAGs are assessed here: 34 carry all three rRNA genes, 221 carry tRNAs for at least 18 amino acids and 32 meet both. spire_mag_01947705 failed Bakta annotation on the first pass and was re-annotated successfully under the same version and database.
