tip	genome_id_or_accession	origin	culture_status	species	clade	genome_size_Mb	GC_pct	coding_density_pct	acidic_residues_pct	urease	ectoine_synthase	rhodopsin	salinity_habitat	completeness_pct	contamination_pct	biome	ncbi_organism_name	ncbi_genus	pathogenicity	coding_density_pct_uniform_prodigal	n_contigs	assembly_status	completeness_ncbi_checkm_pct	contamination_ncbi_checkm_pct	completeness_source	checkm2_this_study_completeness_pct	checkm2_this_study_contamination_pct	completeness_used_pct
spire_mag_00873789.fa	spire_mag_00873789	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	2.989	66.35	93.84	11.24	absent	absent	present	low salinity	96.86	0.34	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.84	108	draft			CheckM2 v1.0.1 (this study)	96.69	0.33	96.69
GB_GCA_964203005.1	GCA_964203005.1	GTDB reference	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	3.068	66.34	92.39	11.18	absent	absent	present					Mycobacterium sp.	not validly named	non_pathogen	92.67	21	draft			CheckM2 v1.0.1 (this study)	95.11	0.26	95.11
spire_mag_01960731.fa	spire_mag_01960731	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	3.035	66.31	94.33	11.24	absent	absent	present	low salinity	94.95	0.65	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.33	203	draft			CheckM2 v1.0.1 (this study)	94.95	0.65	94.95
spire_mag_01960893.fa	spire_mag_01960893	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	2.947	66.32	94.5	11.27	absent	absent	present	low salinity	97.78	1.94	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.5	239	draft			CheckM2 v1.0.1 (this study)	97.78	1.94	97.78
spire_mag_01104521.fa	spire_mag_01104521	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	3.787	66.14	93.34	11.12	absent	absent	present	low salinity	92.82	3.71	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.34	382	draft			CheckM2 v1.0.1 (this study)	92.82	3.72	92.82
spire_mag_01107416.fa	spire_mag_01107416	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	3.092	66.22	94.15	11.17	absent	absent	present	low salinity	91.58	1.14	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.15	213	draft			CheckM2 v1.0.1 (this study)	91.58	1.14	91.58
spire_mag_01104972.fa	spire_mag_01104972	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	2.965	66.16	94.03	11.23	absent	absent	present	low salinity	91.84	0.08	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.03	304	draft			CheckM2 v1.0.1 (this study)	91.84	0.08	91.84
spire_mag_01108461.fa	spire_mag_01108461	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	3.097	66.25	93.85	11.23	absent	absent	present	low salinity	92.28	1.49	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.85	446	draft			CheckM2 v1.0.1 (this study)	92.28	1.49	92.28
spire_mag_01112928.fa	spire_mag_01112928	SPIRE MAG	MAG / uncultured	Mycobacterium sp903911165	FSM (small-genome)	3.761	66.04	93.14	11.23	present	absent	present	low salinity	94.89	2.8	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.14	261	draft			CheckM2 v1.0.1 (this study)	94.89	2.8	94.89
GB_GCA_018401645.1	GCA_018401645.1	GTDB reference	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.004	66.08	87.4	11.07	absent	absent	present					Mycobacterium sp.	not validly named	non_pathogen	88.17	142	draft			CheckM2 v1.0.1 (this study)	85.96	0.35	85.96
spire_mag_00688177.fa	spire_mag_00688177	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.101	66.07	93.26	11.18	absent	absent	present	medium salinity	92.35	3.57	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.26	452	draft			CheckM2 v1.0.1 (this study)	92.2	3.58	92.2
spire_mag_00688367.fa	spire_mag_00688367	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.394	66.11	93.27	11.11	absent	absent	present	medium salinity	95.23	1.36	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.27	257	draft			CheckM2 v1.0.1 (this study)	95.23	1.32	95.23
spire_mag_01583196.fa	spire_mag_01583196	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	2.916	66.05	93.6	11.19	absent	absent	present		90.34	0.63	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.6	404	draft			CheckM2 v1.0.1 (this study)	90.34	0.63	90.34
spire_mag_01822855.fa	spire_mag_01822855	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.398	66.04	93.34	11.11	absent	absent	present		99.49	0.32	terrestrial	not applicable (MAG)	not applicable (MAG)	MAG	93.34	101	draft			CheckM2 v1.0.1 (this study)	99.56	0.32	99.56
spire_mag_01824889.fa	spire_mag_01824889	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.329	66.07	93.56	11.13	absent	absent	present		98.31	0.0	terrestrial	not applicable (MAG)	not applicable (MAG)	MAG	93.56	77	draft			CheckM2 v1.0.1 (this study)	98.57	0	98.57
spire_mag_01830074.fa	spire_mag_01830074	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.366	66.13	93.54	11.11	absent	absent	present		97.58	0.06	terrestrial	not applicable (MAG)	not applicable (MAG)	MAG	93.54	82	draft			CheckM2 v1.0.1 (this study)	97.79	0.06	97.79
spire_mag_01822349.fa	spire_mag_01822349	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.272	66.07	93.42	11.11	absent	absent	present		96.72	2.58	terrestrial	not applicable (MAG)	not applicable (MAG)	MAG	93.42	306	draft			CheckM2 v1.0.1 (this study)	96.72	2.56	96.72
spire_mag_01824983.fa	spire_mag_01824983	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.374	66.06	93.46	11.14	absent	absent	present		97.01	0.68	terrestrial	not applicable (MAG)	not applicable (MAG)	MAG	93.46	160	draft			CheckM2 v1.0.1 (this study)	97.01	0.69	97.01
spire_mag_01776742.fa	spire_mag_01776742	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.297	66.13	93.26	11.14	absent	absent	present	medium salinity	95.34	2.39	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.26	251	draft			CheckM2 v1.0.1 (this study)	95.34	2.38	95.34
spire_mag_01775892.fa	spire_mag_01775892	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.288	66.14	93.53	11.12	absent	absent	present	medium salinity	94.74	0.53	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.53	262	draft			CheckM2 v1.0.1 (this study)	94.67	0.5	94.67
spire_mag_01777835.fa	spire_mag_01777835	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.29	66.11	93.34	11.17	absent	absent	present	medium salinity	95.03	2.59	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.34	130	draft			CheckM2 v1.0.1 (this study)	95.11	2.67	95.11
spire_mag_01777252.fa	spire_mag_01777252	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.324	66.12	93.35	11.14	absent	absent	present	medium salinity	95.16	0.17	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.35	224	draft			CheckM2 v1.0.1 (this study)	95.27	0.17	95.27
spire_mag_01776854.fa	spire_mag_01776854	SPIRE MAG	MAG / uncultured	Mycobacterium sp018401645	FSM (small-genome)	3.261	66.1	93.16	11.14	absent	absent	present	medium salinity	93.74	1.26	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.16	247	draft			CheckM2 v1.0.1 (this study)	93.71	1.27	93.71
GB_GCA_026393245.1	GCA_026393245.1	GTDB reference	MAG / uncultured	Mycobacterium sp026393245	FSM (small-genome)	3.349	65.77	89.38	11.17	absent	absent	present					Mycobacterium sp.	not validly named	non_pathogen	93.67	364	draft			CheckM2 v1.0.1 (this study)	97.79	0.8	97.79
GB_GCA_037138275.1	GCA_037138275.1	GTDB reference	MAG / uncultured	Mycobacterium sp037138275	FSM (small-genome)	2.863	65.89	93.45	11.25	absent	absent	present					Mycobacteriaceae bacterium	not validly named	non_pathogen	94.36	309	draft			CheckM2 v1.0.1 (this study)	91.43	0.34	91.43
spire_mag_01949778.fa	spire_mag_01949778	SPIRE MAG	MAG / uncultured	Mycobacterium sp037138275	FSM (small-genome)	3.12	65.79	94.08	11.21	absent	absent	present	low salinity	94.65	2.66	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.08	312	draft			CheckM2 v1.0.1 (this study)	94.69	2.66	94.69
